cid2,year,name,daysabove1in,daysabove90F,tmaxavg,annual_mean_temp,annual_total_precip
2130,2015,Ketchikan Gateway,4,,,,68.9362869863435
2130,2016,Ketchikan Gateway,11,,,,64.31318628506398
2130,2017,Ketchikan Gateway,4,,,,47.73108775221457
2130,2018,Ketchikan Gateway,7,,,,75.45621616633859
2130,2019,Ketchikan Gateway,7,,,,83.06091789185533
2130,2020,Ketchikan Gateway,7,,,,73.17644254429135
2130,2021,Ketchikan Gateway,10,,,,85.63165139025591
2130,2022,Ketchikan Gateway,2,,,,62.801773191437015
2130,2023,Ketchikan Gateway,15,,,,92.96361727977363
2130,2024,Ketchikan Gateway,22,,,,112.08452840489666
2130,2025,Ketchikan Gateway,7,,,,79.40975639763779
2130,2026,Ketchikan Gateway,5,,,,77.60394239050197
2130,2027,Ketchikan Gateway,9,,,,72.90263979453741
2130,2028,Ketchikan Gateway,12,,,,70.78469584307334
2130,2029,Ketchikan Gateway,11,,,,77.28524275652067
2130,2030,Ketchikan Gateway,13,,,,88.40428149606299
2130,2031,Ketchikan Gateway,10,,,,72.9989455816314
2130,2032,Ketchikan Gateway,12,,,,82.37904466043308
2130,2033,Ketchikan Gateway,12,,,,90.11719711183564
2130,2034,Ketchikan Gateway,12,,,,86.07326717827264
2130,2035,Ketchikan Gateway,13,,,,85.86684339628445
2130,2036,Ketchikan Gateway,8,,,,70.35656546044538
2130,2037,Ketchikan Gateway,13,,,,82.13195320189469
2130,2038,Ketchikan Gateway,14,,,,80.54455854761319
2130,2039,Ketchikan Gateway,15,,,,76.79640402005414
2130,2040,Ketchikan Gateway,8,,,,69.73575141486221
2130,2041,Ketchikan Gateway,10,,,,67.69201564037894
2130,2042,Ketchikan Gateway,17,,,,91.01042499692421
2130,2043,Ketchikan Gateway,11,,,,90.91436431163878
2130,2044,Ketchikan Gateway,11,,,,88.97335983636812
2130,2045,Ketchikan Gateway,15,,,,85.75210691437009
2130,2046,Ketchikan Gateway,15,,,,85.71613942544292
2130,2047,Ketchikan Gateway,13,,,,70.00596894992619
2130,2048,Ketchikan Gateway,14,,,,98.41463344303642
2130,2049,Ketchikan Gateway,10,,,,75.00709353469489
2130,2050,Ketchikan Gateway,9,,,,74.36892051396408
2130,2051,Ketchikan Gateway,12,,,,86.87234713336615
2130,2052,Ketchikan Gateway,10,,,,72.19296913447343
2130,2053,Ketchikan Gateway,7,,,,68.71680552565208
2130,2054,Ketchikan Gateway,15,,,,86.4123823511319
2130,2055,Ketchikan Gateway,12,,,,85.53474486343504
2130,2056,Ketchikan Gateway,14,,,,88.05106576033465
2130,2057,Ketchikan Gateway,6,,,,83.82545290969489
2130,2058,Ketchikan Gateway,9,,,,73.5253233421506
2130,2059,Ketchikan Gateway,14,,,,87.9236128198819
2130,2060,Ketchikan Gateway,16,,,,82.26689376230316
2130,2061,Ketchikan Gateway,12,,,,93.60697588582677
2130,2062,Ketchikan Gateway,12,,,,81.74264502337599
2130,2063,Ketchikan Gateway,10,,,,77.44549128014272
2130,2064,Ketchikan Gateway,20,,,,97.3519392839567
2130,2065,Ketchikan Gateway,17,,,,93.35070512426182
2130,2066,Ketchikan Gateway,15,,,,79.85464982160434
2130,2067,Ketchikan Gateway,14,,,,78.00718292476624
2130,2068,Ketchikan Gateway,15,,,,91.76249346395177
2130,2069,Ketchikan Gateway,12,,,,77.64511949434056
2130,2070,Ketchikan Gateway,15,,,,73.8428695558563
2130,2071,Ketchikan Gateway,12,,,,71.66637510765257
2130,2072,Ketchikan Gateway,18,,,,92.61254498339075
2130,2073,Ketchikan Gateway,18,,,,72.51404289185533
2130,2074,Ketchikan Gateway,16,,,,71.68430118110237
2130,2075,Ketchikan Gateway,16,,,,90.9957381120817
2130,2076,Ketchikan Gateway,15,,,,90.38587675319883
2130,2077,Ketchikan Gateway,17,,,,78.7186461921752
2130,2078,Ketchikan Gateway,25,,,,106.72522837721458
2130,2079,Ketchikan Gateway,18,,,,95.29145007997047
2130,2080,Ketchikan Gateway,18,,,,84.06526820866142
2130,2081,Ketchikan Gateway,14,,,,79.32951679379921
2130,2082,Ketchikan Gateway,13,,,,77.20439760703741
2130,2083,Ketchikan Gateway,14,,,,82.27213221272146
2130,2084,Ketchikan Gateway,15,,,,83.15152866633859
2130,2085,Ketchikan Gateway,6,,,,62.33297993817668
2130,2086,Ketchikan Gateway,17,,,,92.42804579847441
2130,2087,Ketchikan Gateway,17,,,,79.24649936946359
2130,2088,Ketchikan Gateway,8,,,,80.61927134596458
2130,2089,Ketchikan Gateway,16,,,,81.20259442667323
2130,2090,Ketchikan Gateway,22,,,,109.46871539739173
2130,2091,Ketchikan Gateway,17,,,,90.03402589812993
2130,2092,Ketchikan Gateway,21,,,,107.72143746924213
2130,2093,Ketchikan Gateway,13,,,,71.00734440360483
2130,2094,Ketchikan Gateway,19,,,,92.44563545767717
2130,2095,Ketchikan Gateway,22,,,,86.39056348425197
2130,2096,Ketchikan Gateway,28,,,,106.57730222687009
2130,2097,Ketchikan Gateway,14,,,,89.47336752583662
2130,2098,Ketchikan Gateway,14,,,,90.84087221641241
2130,2099,Ketchikan Gateway,17,,,,96.80118110236221
2130,2100,Ketchikan Gateway,17,,,,91.07604499876969
2188,2015,Northwest Arctic,0,,,,11.857028270330956
