year,scenario,county_id,county_name,state,total_annual_precip_mm,days_above_threshold,mean_daily_precip_mm,max_daily_precip_mm,precip_std_mm,dry_days,wet_days,precip_percentile_95,precip_percentile_99
2015,ssp370,66010,Guam,,8095.2890625,135,22.178874969482422,120.45166778564453,22.7832088470459,53,312,66.03203582763672,97.73419952392578
2016,ssp370,66010,Guam,,7291.5634765625,114,19.976886749267578,133.34564208984375,25.59748077392578,67,298,68.2743911743164,114.73404693603516
2017,ssp370,66010,Guam,,5261.49169921875,71,14.415045738220215,145.0222625732422,22.059200286865234,91,274,56.83387756347656,106.78324127197266
2018,ssp370,66010,Guam,,7778.359375,122,21.31057357788086,130.97511291503906,23.286090850830078,43,322,69.50405883789062,104.26261901855469
2019,ssp370,66010,Guam,,4263.42578125,65,11.680618286132812,72.46202087402344,14.644976615905762,68,297,43.3851432800293,61.419925689697266
2020,ssp370,66010,Guam,,8634.583984375,147,23.656394958496094,127.51578521728516,23.83164405822754,27,338,70.52686309814453,102.56442260742188
2021,ssp370,66010,Guam,,9779.2109375,132,26.7923583984375,192.86752319335938,33.50052261352539,42,323,93.05706787109375,171.41241455078125
2022,ssp370,66010,Guam,,2434.669189453125,26,6.6703267097473145,102.27305603027344,12.884161949157715,105,260,36.43208312988281,54.914581298828125
2023,ssp370,66010,Guam,,4472.60009765625,65,12.25369930267334,99.61895751953125,15.490094184875488,86,279,39.08319854736328,69.83132934570312
2024,ssp370,66010,Guam,,6731.26953125,116,18.44183349609375,81.95142364501953,20.46110725402832,83,282,59.91374206542969,79.01292419433594
2025,ssp370,66010,Guam,,2449.5966796875,25,6.711223602294922,49.98930358886719,10.00831413269043,132,233,27.12832260131836,40.96089172363281
2026,ssp370,66010,Guam,,5553.7548828125,80,15.215766906738281,120.1102066040039,20.298213958740234,106,259,58.915035247802734,86.53569030761719
2027,ssp370,66010,Guam,,5450.447265625,76,14.932732582092285,163.92733764648438,25.481685638427734,98,267,72.96749877929688,114.65335845947266
2028,ssp370,66010,Guam,,5190.5703125,80,14.22074031829834,105.45547485351562,19.386760711669922,54,311,51.75670623779297,87.34696960449219
2029,ssp370,66010,Guam,,4352.697265625,59,11.92519760131836,93.09835052490234,17.004596710205078,85,280,48.53396224975586,74.94644165039062
2030,ssp370,66010,Guam,,5657.908203125,93,15.501118659973145,96.09724426269531,16.8384952545166,74,291,47.2407341003418,69.66036224365234
2031,ssp370,66010,Guam,,7478.58642578125,125,20.48927879333496,137.66543579101562,22.796777725219727,51,314,64.5712890625,109.52848052978516
2032,ssp370,66010,Guam,,6047.19677734375,82,16.567663192749023,120.19157409667969,18.045373916625977,49,316,52.98796081542969,78.2083969116211
2033,ssp370,66010,Guam,,6799.4931640625,102,18.628747940063477,215.10223388671875,25.183069229125977,56,309,66.64973449707031,99.49026489257812
2034,ssp370,66010,Guam,,3799.847412109375,38,10.410540580749512,129.1173095703125,19.066373825073242,90,275,48.09031295776367,98.10118865966797
2035,ssp370,66010,Guam,,5313.4326171875,81,14.55734920501709,209.99269104003906,20.423757553100586,66,299,48.693363189697266,79.28482055664062
2036,ssp370,66010,Guam,,8876.7119140625,147,24.319759368896484,272.00787353515625,28.53253746032715,48,317,65.81156158447266,96.8221664428711
2037,ssp370,66010,Guam,,6177.6240234375,90,16.924997329711914,119.66746520996094,21.13809585571289,62,303,58.51438903808594,96.021240234375
2038,ssp370,66010,Guam,,5010.24853515625,69,13.72670841217041,131.59521484375,19.168102264404297,88,277,56.74892044067383,83.33366394042969
2039,ssp370,66010,Guam,,7001.453125,118,19.182064056396484,92.72171020507812,18.648710250854492,59,306,54.80388259887695,74.1968994140625
2040,ssp370,66010,Guam,,5869.08154296875,73,16.079675674438477,136.9168701171875,22.97129249572754,71,294,64.06309509277344,110.98231506347656
2041,ssp370,66010,Guam,,8567.154296875,139,23.471654891967773,122.51801300048828,23.410905838012695,37,328,75.06645202636719,101.13729858398438
2042,ssp370,66010,Guam,,5387.068359375,75,14.7590913772583,173.62152099609375,22.07206153869629,81,284,61.59671401977539,86.7678451538086
2043,ssp370,66010,Guam,,6199.267578125,94,16.984294891357422,147.70831298828125,22.551332473754883,52,313,61.18501663208008,94.8503646850586
2044,ssp370,66010,Guam,,10098.396484375,182,27.666839599609375,123.40203094482422,23.097497940063477,22,343,70.47689819335938,97.898193359375
2045,ssp370,66010,Guam,,7754.5908203125,136,21.245454788208008,153.8893280029297,22.90003204345703,59,306,61.92361831665039,100.73860931396484
2046,ssp370,66010,Guam,,8400.953125,143,23.01630973815918,213.04776000976562,26.278636932373047,55,310,69.80375671386719,109.1994857788086
2047,ssp370,66010,Guam,,4519.61962890625,65,12.382519721984863,128.99386596679688,15.91136646270752,64,301,41.07908630371094,63.15152359008789
2048,ssp370,66010,Guam,,6792.220703125,102,18.608823776245117,123.0780258178711,22.103548049926758,60,305,67.30780029296875,84.78877258300781
2049,ssp370,66010,Guam,,4754.16015625,67,13.02509593963623,238.87689208984375,22.85155487060547,99,266,53.00672912597656,91.69499206542969
2050,ssp370,66010,Guam,,4386.54443359375,70,12.017930030822754,93.67684173583984,17.312353134155273,113,252,47.64736557006836,71.11781311035156
2051,ssp370,66010,Guam,,10312.150390625,172,28.252466201782227,200.8003387451172,26.55429458618164,35,330,84.1037368774414,110.68457794189453
2052,ssp370,66010,Guam,,10787.3095703125,185,29.55427360534668,197.97962951660156,26.643083572387695,32,333,82.07077026367188,112.0776596069336
2053,ssp370,66010,Guam,,7937.3935546875,132,21.74628448486328,233.60105895996094,24.07599449157715,51,314,62.90447998046875,77.514892578125
2054,ssp370,66010,Guam,,5315.74609375,87,14.563688278198242,110.94245910644531,20.143083572387695,103,262,57.19594192504883,77.10588836669922
2055,ssp370,66010,Guam,,8356.3037109375,130,22.89398193359375,213.75677490234375,25.97397804260254,51,314,67.74491882324219,104.52668762207031
2056,ssp370,66010,Guam,,6015.80908203125,97,16.48166847229004,163.33493041992188,23.127267837524414,91,274,59.63442611694336,104.37953186035156
2057,ssp370,66010,Guam,,7992.05322265625,128,21.89603614807129,145.3411865234375,23.182880401611328,42,323,61.64943313598633,99.4241943359375
2058,ssp370,66010,Guam,,3697.17333984375,59,10.129241943359375,57.883995056152344,13.47050666809082,97,268,40.19646072387695,47.28877258300781
2059,ssp370,66010,Guam,,7151.4677734375,125,19.593061447143555,117.45504760742188,19.34490394592285,40,325,55.02430725097656,85.70133972167969
2060,ssp370,66010,Guam,,8054.37646484375,132,22.066783905029297,129.501708984375,22.83882713317871,47,318,59.82517623901367,99.34495544433594
2061,ssp370,66010,Guam,,7955.34326171875,116,21.795461654663086,163.44989013671875,24.642812728881836,31,334,68.92245483398438,124.8641357421875
2062,ssp370,66010,Guam,,3847.18994140625,53,10.54024600982666,191.541015625,17.994308471679688,84,281,42.36213302612305,75.615234375
