cid2,year,name,daysabove1in,daysabove90F,tmaxavg,annual_mean_temp,annual_total_precip
66010,2015,Guam,135,,,,318.71216781496065
66010,2016,Guam,114,,,,287.06942821112204
66010,2017,Guam,71,,,,207.1453424889272
66010,2018,Guam,122,,,,306.2346210629921
66010,2019,Guam,65,,,,167.85140871062993
66010,2020,Guam,147,,,,339.9442513533465
66010,2021,Guam,132,,,,385.0083046259843
66010,2022,Guam,26,,,,95.85311769500493
66010,2023,Guam,65,,,,176.08661801796262
66010,2024,Guam,116,,,,265.01061146653547
66010,2025,Guam,25,,,,96.4408141609252
66010,2026,Guam,80,,,,218.65176703986225
66010,2027,Guam,76,,,,214.5845380167323
66010,2028,Guam,80,,,,204.35316190944883
66010,2029,Guam,59,,,,171.3660340797244
66010,2030,Guam,93,,,,222.7522914616142
66010,2031,Guam,125,,,,294.4325364480807
66010,2032,Guam,82,,,,238.07861328125
66010,2033,Guam,102,,,,267.69658126230314
66010,2034,Guam,38,,,,149.60029181532974
66010,2035,Guam,81,,,,209.19026051919292
66010,2036,Guam,147,,,,349.47684701033467
66010,2037,Guam,90,,,,243.21354422982284
66010,2038,Guam,69,,,,197.25387933686025
66010,2039,Guam,118,,,,275.6477608267717
66010,2040,Guam,73,,,,231.06620247908467
66010,2041,Guam,139,,,,337.2895392470473
66010,2042,Guam,75,,,,212.0893054872047
66010,2043,Guam,94,,,,244.06565268208664
66010,2044,Guam,182,,,,397.5746647391733
66010,2045,Guam,136,,,,305.29885119340554
66010,2046,Guam,143,,,,330.74618602362204
66010,2047,Guam,65,,,,177.9377806656004
66010,2048,Guam,102,,,,267.41026390255905
66010,2049,Guam,67,,,,187.1716596948819
66010,2050,Guam,70,,,,172.69859974778544
66010,2051,Guam,172,,,,405.990172859252
66010,2052,Guam,185,,,,424.6972271776575
66010,2053,Guam,132,,,,312.4958092396654
66010,2054,Guam,87,,,,209.28134227362207
66010,2055,Guam,130,,,,328.98833507627955
66010,2056,Guam,97,,,,236.8428772453248
66010,2057,Guam,128,,,,314.6477646715059
66010,2058,Guam,59,,,,145.55800550565945
66010,2059,Guam,125,,,,281.55384934793307
66010,2060,Guam,132,,,,317.1014356237697
66010,2061,Guam,116,,,,313.20249061884846
66010,2062,Guam,53,,,,151.4641709215059
66010,2063,Guam,135,,,,299.80803241879926
66010,2064,Guam,172,,,,377.91650006151576
66010,2065,Guam,83,,,,215.47424796998033
66010,2066,Guam,40,,,,122.13246262918308
66010,2067,Guam,81,,,,227.73529773622047
66010,2068,Guam,194,,,,436.9311331200787
66010,2069,Guam,114,,,,305.71379413754926
66010,2070,Guam,123,,,,276.68443574680117
66010,2071,Guam,152,,,,377.0904973548229
66010,2072,Guam,62,,,,184.33916707677167
66010,2073,Guam,130,,,,305.70277897391736
66010,2074,Guam,148,,,,343.525390625
66010,2075,Guam,139,,,,337.39849901574803
66010,2076,Guam,53,,,,155.3049450971949
66010,2077,Guam,154,,,,337.21375953494095
66010,2078,Guam,164,,,,382.6489834522638
66010,2079,Guam,138,,,,350.6609098179134
66010,2080,Guam,41,,,,163.17615418922244
66010,2081,Guam,103,,,,263.3689868356299
66010,2082,Guam,163,,,,402.1655081200787
66010,2083,Guam,80,,,,242.0177357591043
66010,2084,Guam,47,,,,145.93228077325296
66010,2085,Guam,89,,,,218.9197642408957
66010,2086,Guam,146,,,,357.79896653543307
66010,2087,Guam,143,,,,378.30235759104335
66010,2088,Guam,107,,,,290.547317144439
66010,2089,Guam,78,,,,186.51121124507875
66010,2090,Guam,206,,,,451.1362727608268
66010,2091,Guam,111,,,,286.7572357898622
66010,2092,Guam,46,,,,151.80482398806595
66010,2093,Guam,46,,,,124.08099317175196
66010,2094,Guam,106,,,,267.7089036355807
66010,2095,Guam,180,,,,430.7744063730315
66010,2096,Guam,123,,,,313.42523529773626
66010,2097,Guam,82,,,,210.8159679502953
66010,2098,Guam,96,,,,237.97653558686025
66010,2099,Guam,147,,,,409.114288570374
66010,2100,Guam,48,,,,160.76085368479332
69100,2015,Rota,7,,,,97.40051750123033
69100,2016,Rota,14,,,,84.93723471333662
69100,2017,Rota,6,,,,57.86095326341044
69100,2018,Rota,9,,,,93.44632366510828
69100,2019,Rota,0,,,,44.078258604515256
69100,2020,Rota,14,,,,102.89771853469487
69100,2021,Rota,29,,,,120.9409698726624
69100,2022,Rota,1,,,,22.384821373646655
69100,2023,Rota,1,,,,49.44389283187746
69100,2024,Rota,4,,,,80.70793091781496
69100,2025,Rota,0,,,,28.183353454109252
69100,2026,Rota,5,,,,63.62214336245079
69100,2027,Rota,11,,,,64.08246378260336
69100,2028,Rota,5,,,,57.45474747785433
69100,2029,Rota,3,,,,49.003579447588585
69100,2030,Rota,1,,,,67.55725770484744
69100,2031,Rota,9,,,,95.01639779158464
69100,2032,Rota,4,,,,70.34283495324803
69100,2033,Rota,7,,,,80.54500069205217
69100,2034,Rota,5,,,,45.103668453186515
69100,2035,Rota,3,,,,60.00723290631152
69100,2036,Rota,7,,,,105.26792991818408
69100,2037,Rota,9,,,,73.63876703217274
69100,2038,Rota,6,,,,55.21745816929134
69100,2039,Rota,4,,,,81.77404689037894
69100,2040,Rota,10,,,,63.93128402589814
69100,2041,Rota,13,,,,105.20080085814467
69100,2042,Rota,2,,,,61.92723552073081
69100,2043,Rota,10,,,,71.38360451525591
69100,2044,Rota,8,,,,116.14656703678642
