year,scenario,county_id,county_name,state,total_annual_precip_mm,days_above_threshold,mean_daily_precip_mm,max_daily_precip_mm,precip_std_mm,dry_days,wet_days,precip_percentile_95,precip_percentile_99
2015,ssp370,15005,Kalawao,,1466.3424072265625,13,4.01737642288208,52.563541412353516,7.893685817718506,150,215,22.610685348510742,35.65830612182617
2016,ssp370,15005,Kalawao,,1249.73974609375,6,3.4239444732666016,59.63075256347656,6.777154445648193,164,201,17.298625946044922,30.595670700073242
2017,ssp370,15005,Kalawao,,1507.26611328125,13,4.129496097564697,46.835792541503906,7.5341572761535645,154,211,20.705080032348633,33.12055969238281
2018,ssp370,15005,Kalawao,,1371.96435546875,13,3.7588064670562744,48.89320373535156,7.743133068084717,163,202,18.076587677001953,39.12308883666992
2019,ssp370,15005,Kalawao,,684.8463745117188,3,1.8762913942337036,40.91276550292969,4.451236248016357,197,168,10.368040084838867,19.238292694091797
2020,ssp370,15005,Kalawao,,1431.8935546875,3,3.9229960441589355,29.76727867126465,6.084752082824707,131,234,18.609798431396484,25.069713592529297
2021,ssp370,15005,Kalawao,,1602.5653076171875,10,4.390589714050293,45.901126861572266,7.400961875915527,121,244,16.670995712280273,37.417442321777344
2022,ssp370,15005,Kalawao,,1407.7520751953125,9,3.8568549156188965,55.759803771972656,7.022725582122803,102,263,14.9102201461792,38.74882125854492
2023,ssp370,15005,Kalawao,,885.3828735351562,7,2.425706386566162,71.49129486083984,6.366455554962158,161,204,8.999019622802734,38.10154342651367
2024,ssp370,15005,Kalawao,,789.576904296875,2,2.163224458694458,30.537073135375977,4.0459089279174805,139,226,9.481989860534668,21.476184844970703
2025,ssp370,15005,Kalawao,,1481.18896484375,12,4.058052062988281,48.83887481689453,7.9728102684021,132,233,22.234128952026367,40.10105514526367
2026,ssp370,15005,Kalawao,,658.2027587890625,2,1.8032952547073364,31.816638946533203,4.281569480895996,186,179,9.949868202209473,20.918703079223633
2027,ssp370,15005,Kalawao,,951.0822143554688,4,2.6057047843933105,48.8681640625,5.541994094848633,194,171,15.429682731628418,23.163040161132812
2028,ssp370,15005,Kalawao,,1119.7886962890625,6,3.0679142475128174,57.53368377685547,6.270177841186523,133,232,15.497872352600098,31.53301429748535
2029,ssp370,15005,Kalawao,,1011.1033935546875,5,2.770146369934082,42.65428924560547,5.668095111846924,160,205,15.711718559265137,26.029325485229492
2030,ssp370,15005,Kalawao,,971.974609375,6,2.6629440784454346,36.05504608154297,6.117008686065674,183,182,16.851102828979492,29.918121337890625
2031,ssp370,15005,Kalawao,,994.2783203125,2,2.724050283432007,40.110328674316406,5.388276100158691,181,184,15.86099910736084,21.549747467041016
2032,ssp370,15005,Kalawao,,1464.142822265625,7,4.011350154876709,46.42939758300781,7.04512882232666,159,206,19.265827178955078,32.86705780029297
2033,ssp370,15005,Kalawao,,1055.931640625,9,2.892963409423828,61.07827377319336,7.176756858825684,184,181,16.98485565185547,34.06101608276367
2034,ssp370,15005,Kalawao,,910.9967651367188,2,2.4958815574645996,30.82682228088379,4.987635612487793,187,178,14.42993450164795,19.69923973083496
2035,ssp370,15005,Kalawao,,985.5870361328125,5,2.7002384662628174,37.52655029296875,5.179525852203369,160,205,13.875248908996582,25.998064041137695
2036,ssp370,15005,Kalawao,,1993.356201171875,18,5.461249828338623,42.41591262817383,8.400059700012207,114,251,24.861778259277344,38.164859771728516
2037,ssp370,15005,Kalawao,,1426.4892578125,13,3.9081897735595703,75.1380844116211,8.995417594909668,168,197,20.52297592163086,40.30178451538086
2038,ssp370,15005,Kalawao,,1228.405029296875,8,3.3654932975769043,58.6763801574707,7.227160453796387,169,196,16.764209747314453,33.757972717285156
2039,ssp370,15005,Kalawao,,859.9017944335938,5,2.3558952808380127,42.274662017822266,5.542666912078857,213,152,12.374625205993652,30.327381134033203
2040,ssp370,15005,Kalawao,,797.331787109375,3,2.1844706535339355,29.687150955200195,4.483457088470459,186,179,11.181330680847168,21.754131317138672
2041,ssp370,15005,Kalawao,,1867.073486328125,15,5.115269660949707,71.22642517089844,9.446115493774414,145,220,23.161693572998047,43.7882194519043
2042,ssp370,15005,Kalawao,,1157.167236328125,5,3.170321226119995,35.40673065185547,5.67678689956665,145,220,14.567319869995117,26.029727935791016
2043,ssp370,15005,Kalawao,,956.669189453125,2,2.62101149559021,35.547393798828125,4.445372104644775,123,242,11.570577621459961,19.53595542907715
