cid2,year,name,daysabove1in,daysabove90F,tmaxavg,annual_mean_temp,annual_total_precip
15005,2015,Kalawao,13,,,,57.73001603254183
15005,2016,Kalawao,6,,,,49.202352208415356
15005,2017,Kalawao,13,,,,59.34118556225394
15005,2018,Kalawao,13,,,,54.014344703494096
15005,2019,Kalawao,3,,,,26.962455689437746
15005,2020,Kalawao,3,,,,56.37376199557087
15005,2021,Kalawao,10,,,,63.09312234713337
15005,2022,Kalawao,9,,,,55.42331004705955
15005,2023,Kalawao,7,,,,34.857593446265994
15005,2024,Kalawao,2,,,,31.08570489357776
15005,2025,Kalawao,12,,,,58.31452617495079
15005,2026,Kalawao,2,,,,25.913494440514274
15005,2027,Kalawao,4,,,,37.44418166753814
15005,2028,Kalawao,6,,,,44.086169145238685
15005,2029,Kalawao,5,,,,39.80722021868849
15005,2030,Kalawao,6,,,,38.26671690452756
15005,2031,Kalawao,2,,,,39.144815760334644
15005,2032,Kalawao,7,,,,57.64341819943406
15005,2033,Kalawao,9,,,,41.572111835629926
15005,2034,Kalawao,2,,,,35.86601437546137
15005,2035,Kalawao,5,,,,38.80263921782726
15005,2036,Kalawao,18,,,,78.47859059731792
15005,2037,Kalawao,13,,,,56.16099440206693
15005,2038,Kalawao,8,,,,48.36240272822343
15005,2039,Kalawao,5,,,,33.8544013556533
15005,2040,Kalawao,3,,,,31.391015240526578
15005,2041,Kalawao,15,,,,73.50683017039863
15005,2042,Kalawao,5,,,,45.557765209768704
15005,2043,Kalawao,2,,,,37.66414131705217
15005,2044,Kalawao,10,,,,55.52068274790847
15005,2045,Kalawao,8,,,,46.790463905634844
15005,2046,Kalawao,15,,,,70.5338317390502
15005,2047,Kalawao,2,,,,36.351827786663385
15005,2048,Kalawao,21,,,,83.62566129429135
15005,2049,Kalawao,3,,,,41.19178111158957
15005,2050,Kalawao,7,,,,44.27778589443898
15005,2051,Kalawao,18,,,,99.41534087413879
15005,2052,Kalawao,11,,,,66.23593788447343
15005,2053,Kalawao,28,,,,100.90324341781496
15005,2054,Kalawao,6,,,,36.49786280834769
15005,2055,Kalawao,26,,,,101.48374061884843
15005,2056,Kalawao,8,,,,46.494630828617126
15005,2057,Kalawao,1,,,,41.72639140932579
15005,2058,Kalawao,4,,,,34.02029923566683
15005,2059,Kalawao,9,,,,47.45910163939469
15005,2060,Kalawao,9,,,,53.682726762426185
15005,2061,Kalawao,20,,,,82.56336122047244
15005,2062,Kalawao,4,,,,31.80485762949065
15005,2063,Kalawao,17,,,,75.39935735266978
15005,2064,Kalawao,8,,,,56.71910563791831
15005,2065,Kalawao,9,,,,52.20444086029774
15005,2066,Kalawao,4,,,,32.613611897145674
15005,2067,Kalawao,7,,,,46.74599474809301
15005,2068,Kalawao,16,,,,67.50633900559794
15005,2069,Kalawao,10,,,,58.65647683932087
15005,2070,Kalawao,7,,,,43.279505451833174
15005,2071,Kalawao,19,,,,90.59005136564961
15005,2072,Kalawao,3,,,,35.05389836829479
15005,2073,Kalawao,11,,,,68.21469765009843
15005,2074,Kalawao,13,,,,72.03696423628199
15005,2075,Kalawao,8,,,,62.82347671628937
15005,2076,Kalawao,3,,,,44.90552046167569
15005,2077,Kalawao,21,,,,77.97872708538387
15005,2078,Kalawao,13,,,,74.05563714936024
15005,2079,Kalawao,11,,,,44.066041961429626
15005,2080,Kalawao,13,,,,46.89985140102117
15005,2081,Kalawao,3,,,,49.80218842273622
15005,2082,Kalawao,38,,,,120.16713059793308
15005,2083,Kalawao,21,,,,93.8956769808071
15005,2084,Kalawao,0,,,,36.8333975724348
15005,2085,Kalawao,3,,,,36.076338159756396
15005,2086,Kalawao,8,,,,56.64162463090552
15005,2087,Kalawao,24,,,,96.85455562561516
15005,2088,Kalawao,3,,,,42.228869340551185
15005,2089,Kalawao,7,,,,49.67683086245079
15005,2090,Kalawao,22,,,,86.22666246309056
15005,2091,Kalawao,33,,,,137.09315983329233
15005,2092,Kalawao,5,,,,58.63702728992372
15005,2093,Kalawao,7,,,,43.13267024483268
15005,2094,Kalawao,18,,,,58.458891140194396
15005,2095,Kalawao,50,,,,128.0429245355561
15005,2096,Kalawao,15,,,,55.405903012733766
15005,2097,Kalawao,4,,,,37.0655258058563
15005,2098,Kalawao,6,,,,43.64346721979577
15005,2099,Kalawao,16,,,,81.60190852608268
15005,2100,Kalawao,0,,,,40.00138891024852
15007,2015,Kauai,9,,,,46.83061254306103
15007,2016,Kauai,14,,,,51.24678964689961
15007,2017,Kauai,14,,,,68.37735393854577
15007,2018,Kauai,14,,,,64.2957504152313
