cid2,year,name,daysabove1in,daysabove90F,tmaxavg,annual_mean_temp,annual_total_precip
78030,2015,St. Thomas,7,,,,93.6543045644685
72151,2015,Yabucoa,17,,,,114.18460875984253
72133,2015,Santa Isabel,6,,,,97.80798243725394
72043,2015,Coamo,10,,,,103.97548405204233
72113,2015,Ponce,10,,,,102.30546605868602
78010,2015,St. Croix,10,,,,101.93509319635827
78020,2015,St. John,6,,,,89.68809593380907
72057,2015,Guayama,6,,,,100.18710399237206
72035,2015,Cayey,13,,,,108.2408033956693
72125,2015,San Germán,4,,,,91.43581600639764
72079,2015,Lajas,9,,,,98.41126930056595
72059,2015,Guayanilla,8,,,,97.22240057517224
78030,2016,St. Thomas,13,,,,87.92405496432087
72151,2016,Yabucoa,21,,,,104.57463782603347
72133,2016,Santa Isabel,8,,,,91.98985182394193
72043,2016,Coamo,7,,,,94.84117402805119
72113,2016,Ponce,6,,,,93.29274575541339
78010,2016,St. Croix,20,,,,98.22173351377953
78020,2016,St. John,10,,,,84.48190283587599
72057,2016,Guayama,8,,,,94.35507466473918
72035,2016,Cayey,12,,,,99.2243056409941
72125,2016,San Germán,4,,,,82.27594811146653
72079,2016,Lajas,7,,,,91.25830462598425
72059,2016,Guayanilla,5,,,,87.36652043860728
78030,2017,St. Thomas,8,,,,78.41063491941438
72151,2017,Yabucoa,12,,,,88.39465043676182
72133,2017,Santa Isabel,5,,,,72.65967661940208
72043,2017,Coamo,6,,,,78.54100985789863
72113,2017,Ponce,6,,,,75.44928603284941
78010,2017,St. Croix,10,,,,81.17928572527067
78020,2017,St. John,8,,,,75.84894615834153
72057,2017,Guayama,7,,,,75.17489696112204
72035,2017,Cayey,8,,,,82.8372985359252
72125,2017,San Germán,2,,,,65.7955139640748
72079,2017,Lajas,4,,,,69.37503364142471
72059,2017,Guayanilla,3,,,,71.14971010703741
78030,2018,St. Thomas,2,,,,58.06807870939961
72151,2018,Yabucoa,7,,,,72.72615688053642
72133,2018,Santa Isabel,3,,,,64.32360551488681
72043,2018,Coamo,3,,,,66.34740634227363
72113,2018,Ponce,2,,,,65.28727373738927
78010,2018,St. Croix,6,,,,68.23732391117126
78020,2018,St. John,2,,,,55.52934301181103
72057,2018,Guayama,3,,,,66.14374115711122
72035,2018,Cayey,4,,,,69.23717588890257
72125,2018,San Germán,1,,,,57.63337383120079
72079,2018,Lajas,3,,,,62.33459953248032
72059,2018,Guayanilla,2,,,,61.26521553580217
78030,2019,St. Thomas,15,,,,83.59319251353347
72151,2019,Yabucoa,21,,,,99.3476927749754
72133,2019,Santa Isabel,10,,,,83.71835783710631
72043,2019,Coamo,12,,,,88.54888195127953
72113,2019,Ponce,10,,,,84.66338390440453
78010,2019,St. Croix,22,,,,91.61972886934056
78020,2019,St. John,11,,,,80.18864669199066
72057,2019,Guayama,13,,,,87.01467919537401
72035,2019,Cayey,17,,,,93.56871116818407
72125,2019,San Germán,4,,,,73.86531799796998
72079,2019,Lajas,6,,,,77.72129329170768
72059,2019,Guayanilla,8,,,,79.50608621432087
