year,scenario,county_id,county_name,state,mean_annual_temp_c,min_temp_c,max_temp_c,temp_range_c,temp_std_c,days_below_freezing,days_above_30c,growing_degree_days,cooling_degree_days,heating_degree_days
2015,historical,15005,Kalawao,,24.429792404174805,19.914199829101562,26.993621826171875,7.0794219970703125,1.3337410688400269,0,0,5266.8740234375,2346.8740234375,0.0
2016,historical,15005,Kalawao,,24.367753982543945,19.827789306640625,26.9971923828125,7.169403076171875,1.4045695066452026,0,0,5244.23095703125,2324.23095703125,0.0
2017,historical,15005,Kalawao,,24.45599365234375,19.757965087890625,26.91436767578125,7.156402587890625,1.7351670265197754,0,0,5276.4384765625,2356.438232421875,0.0
2018,historical,15005,Kalawao,,24.595077514648438,20.486892700195312,27.331451416015625,6.8445587158203125,1.246823787689209,0,0,5327.203125,2407.203125,0.0
2019,historical,15005,Kalawao,,24.165067672729492,19.371566772460938,27.17138671875,7.7998199462890625,1.9691510200500488,0,0,5170.2509765625,2250.250732421875,0.0
2020,historical,15005,Kalawao,,24.82906150817871,21.353713989257812,27.980804443359375,6.6270904541015625,1.332564353942871,0,0,5412.60693359375,2492.60693359375,0.0
2021,historical,15005,Kalawao,,24.70865249633789,19.573715209960938,27.077835083007812,7.504119873046875,1.5007268190383911,0,0,5368.658203125,2448.65771484375,0.0
2022,historical,15005,Kalawao,,23.695114135742188,19.165206909179688,25.98333740234375,6.8181304931640625,1.4639298915863037,0,0,4998.716796875,2078.717041015625,0.0
2023,historical,15005,Kalawao,,23.24571990966797,20.322296142578125,24.860061645507812,4.5377655029296875,1.0829554796218872,0,0,4834.6875,1914.6876220703125,0.0
2024,historical,15005,Kalawao,,23.167510986328125,20.3546142578125,25.34454345703125,4.98992919921875,1.0944194793701172,0,0,4806.1416015625,1886.141845703125,0.0
2025,historical,15005,Kalawao,,23.71974754333496,19.181854248046875,26.9190673828125,7.737213134765625,1.5828664302825928,0,0,5007.7080078125,2087.7080078125,0.0
2026,historical,15005,Kalawao,,23.049802780151367,19.983978271484375,24.86767578125,4.883697509765625,1.0035465955734253,0,0,4763.177734375,1843.1773681640625,0.0
2027,historical,15005,Kalawao,,24.09246253967285,20.242279052734375,27.090667724609375,6.848388671875,1.6948636770248413,0,0,5143.7490234375,2223.7490234375,0.0
2028,historical,15005,Kalawao,,23.609161376953125,19.765960693359375,26.40264892578125,6.636688232421875,1.602597713470459,0,0,4967.34423828125,2047.34423828125,0.0
2029,historical,15005,Kalawao,,23.571102142333984,19.467498779296875,25.978607177734375,6.5111083984375,1.4146203994750977,0,0,4953.45166015625,2033.4517822265625,0.0
2030,historical,15005,Kalawao,,23.68572425842285,20.669952392578125,25.38677978515625,4.716827392578125,0.9217537641525269,0,0,4995.2890625,2075.28857421875,0.0
2031,historical,15005,Kalawao,,24.183063507080078,20.401031494140625,26.818817138671875,6.41778564453125,1.6341159343719482,0,0,5176.818359375,2256.818359375,0.0
2032,historical,15005,Kalawao,,24.439680099487305,20.281814575195312,26.925262451171875,6.6434478759765625,1.3561931848526,0,0,5270.4833984375,2350.483154296875,0.0
2033,historical,15005,Kalawao,,24.412973403930664,21.108001708984375,27.412628173828125,6.30462646484375,1.569046974182129,0,0,5260.7353515625,2340.7353515625,0.0
2034,historical,15005,Kalawao,,24.283802032470703,20.562057495117188,27.557464599609375,6.9954071044921875,1.7049229145050049,0,0,5213.5869140625,2293.5869140625,0.0
2035,historical,15005,Kalawao,,24.1491756439209,20.593292236328125,25.867965698242188,5.2746734619140625,1.1276819705963135,0,0,5164.44970703125,2244.4501953125,0.0
2036,historical,15005,Kalawao,,25.091571807861328,21.983856201171875,27.319686889648438,5.3358306884765625,1.1969387531280518,0,0,5508.4248046875,2588.42431640625,0.0
